Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,KiLib_Generator,LCSC Part #,Manufacturer Mfr. Part #,Sim.Device,Sim.Pins
C1,1,100nF/C0603,C_Disc_D3.0mm_W1.6mm_P2.50mm,,,,tht,"Unpolarized capacitor, small symbol",capacitor/THT/other,C30926,0603B104K500NT,,
"C2, C3",2,22pF,C_Disc_D3.0mm_W1.6mm_P2.50mm,,,,tht,"Unpolarized capacitor, small symbol",capacitor/THT/other,,,,
D10,1,RB151,Diode_Bridge_Round_D9.0mm,,,,tht,"Single-Phase Bridge Rectifier, 35V Vrms, 1.5A If, WOG-like package",,,,,
D2,1,1N4148,D_A-405_P10.16mm_Horizontal,,,,tht,"Diode, small symbol",diode/THT,,,D,1=K 2=A
J10,1,RS485_M,PinHeader_1x04_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",connector/pin_header_socket,,,,
"J11, J5",2,NC (test led),PinHeader_1x01_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x01, script generated",connector/pin_header_socket,,,,
J2,1,220V IN,"PhoenixContact_GMSTBA_2,5_6-G-7,62_1x06_P7.62mm_Horizontal",,,,tht,"Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/)",connector/PhoenixContact,,,,
J6,1,CONSOLA,PinHeader_1x04_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",connector/pin_header_socket,C2883761,X6511WVS-04H-C60D48R2,,
J7,1,LEDS,PinHeader_1x08_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x08, script generated (kicad-library-utils/schlib/autogen/connector/)",connector/pin_header_socket,,,,
J8,1,LED,PinHeader_1x03_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",connector/pin_header_socket,,,,
J9,1,RS485_uC,PinHeader_1x04_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",connector/pin_header_socket,,,,
Q2,1,BD139,TO-126-3_Vertical,,,,tht,"1.5A Ic, 80V Vce, Low Voltage Transistor, TO-126",package/TO_SOT/THT,,,NPN,1=E 2=C 3=B
"R10, R11, R12, R3, R6, R7, R8, R9",8,1K,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,,,tht,"Resistor, small symbol",resistor/THT,,,,
"R13, R4",2,360R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,,,tht,"Resistor, small symbol",resistor/THT,,,,
"R14, R15, R5",3,10K,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,,,tht,"Resistor, small symbol",resistor/THT,,,,
R2,1,1k,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,,,tht,Resistor,resistor/THT,,,,
RL1,1,891WP-1A-C,891WP-1A-C,,,,tht,"Standex Meder UMS reed relay, SPST, Closing Contact",,,,,
SENZOR_D1,1,SENZOR_D,PinHeader_1x04_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",connector/pin_header_socket,,,,
T1,1,Transformer_1P_1S,Trafo_10V,,,,tht,"Transformer, single primary, single secondary",,,,,
U1,1,ATmega328P-P,DIP-28_W7.62mm,,,,tht,"20MHz, 32kB Flash, 2kB SRAM, 1kB EEPROM, DIP-28",package/DIP/legacy,,,,
U2,1,XL4016_ADJ,Sursa_adj_5V,,,,tht,,,,,,
U3,1,4N25,DIP-6_W7.62mm,,,,tht,"DC Optocoupler Base Connected, Vce 30V, CTR 20%, Viso 2500V, DIP6",package/DIP/legacy,,,,
U4,1,ULN2003,DIP-16_W7.62mm_LongPads,,,,tht,"High Voltage, High Current Darlington Transistor Arrays, SOIC16/SOIC16W/DIP16/TSSOP16",package/DIP/legacy,,,,
Y1,1,16MHz,Crystal_HC49-4H_Vertical,,,,tht,"Two pin crystal, small symbol",crystal_resonator_oscillator,,,,
